description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
"Be careful making too many assumptions. You are assuming: Your boss will want to get rid of you immediately, if there is not a lot of work There is no more work (either currently or in future) that yo...",,,,,,Peer-validated,pattern,,,,,,,,2016-10-03,stackexchange/workplace/answer,,Answer score: 223
"First of all, if you're not going to have enough work to keep you busy, do you even want to remain with this company? Second of all, every automated process eventually needs to be updated, refined, et...",,,,,,Peer-validated,pattern,,,,,,,,2016-10-03,stackexchange/workplace/answer,,Answer score: 13
"I was working as a customer support agent when I decided I wanted to program full-time, and I made a simple business case to my managers. The business case goes like this: doing manual work, you produ...",,,,,,Peer-validated,pattern,,,,,,,,2016-10-04,stackexchange/workplace/answer,,Answer score: 4
"It's not massively common but some interviewers do like the whole ""bizarre questions"" approach. The theory is that by seeing how you respond to questions that are outside of what you may have been abl...",,,,,,Peer-validated,pattern,,,,,,,,2018-10-01,stackexchange/workplace/answer,,Answer score: 19
"Indeed.com has a pretty good salary calculation tool. This would give you a decent estimate for many career areas. For example, it shows $118,000 as the average for a C# programmer in NYC compared to ...",,,,,,Peer-validated,pattern,,,,,,,,2012-04-23,stackexchange/workplace/answer,,Answer score: 38
Is it normal to take lots of breaks in a programming job?,,,,,,Peer-validated,pattern,,,,,,,,2016-04-20,stackexchange/workplace,https://workplace.stackexchange.com/questions/65522/is-it-normal-to-take-lots-of-breaks-in-a-programming-job,"Score: 315, Answers: 13, Tags: internship, productivity, efficiency"
"In an 8 hour shift, at minimum you should take two 15 minute breaks, and a 30-60 lunch break. The 15 minute breaks are on the clock, the longer lunch break is not. Additionally, you mention in one of ...",,,,,,Peer-validated,pattern,,,,,,,,2016-04-20,stackexchange/workplace/answer,,Answer score: 220
"I cannot count the times where I have been stuck for hours on a problem that was solved five minutes after cruising the net or BSing with a coworker. I would recommend discretion, however, as Sobrique...",,,,,,Peer-validated,pattern,,,,,,,,2016-04-20,stackexchange/workplace/answer,,Answer score: 46
"If your manager is impressed with the speed of your work then I wouldn't worry. If you still feel inefficient, then I would say instead of just reading whatever on the internet, read things that are r...",,,,,,Peer-validated,pattern,,,,,,,,2016-04-20,stackexchange/workplace/answer,,Answer score: 13
"It's nearly impossible to stay focused during 8 hours and it's also not beneficial for your health. On top of that, you'll likely be more inefficient if you don't take any breaks. However, keep in min...",,,,,,Peer-validated,pattern,,,,,,,,2016-04-20,stackexchange/workplace/answer,,Answer score: 10
"As many people rightly say, you aren't expected to work for 8 hours in 8 hours. However, few of the answers answer your main question that you stated after the edit: What could be the best approach fo...",,,,,,Peer-validated,pattern,,,,,,,,2016-04-20,stackexchange/workplace/answer,,Answer score: 8
"Others have said it, so some of this will be a repeat. I write code myself, and I can tell you there is no way you sit for eight hours a day, writing code taking 2 15s and a lunch and write any qualit...",,,,,,Peer-validated,pattern,,,,,,,,2016-04-20,stackexchange/workplace/answer,,Answer score: 6
How can I overcome &quot;years of experience&quot; requirements when applying to positions?,,,,,,Peer-validated,pattern,,,,,,,,2012-05-29,stackexchange/workplace,https://workplace.stackexchange.com/questions/1478/how-can-i-overcome-years-of-experience-requirements-when-applying-to-positions,"Score: 311, Answers: 22, Tags: software-industry, career-development, applications, work-experience, skills"
"Short version: They might have chosen a reason that is not personal and not debatable It takes time to acquire skill as well as experience. You may be a good coder, but not experienced enough for thei...",,,,,,Peer-validated,pattern,,,,,,,,2012-05-29,stackexchange/workplace/answer,,Answer score: 113
"I actually have hired, specifically for what is described here, so I'll use some examples from software engineering. While I agree that experience will give you more - expertise in subject matter, peo...",,,,,,Peer-validated,pattern,,,,,,,,2012-08-20,stackexchange/workplace/answer,,Answer score: 101
"I'm going to re-interpret this question a tiny bit into: Why is it 'expected' that software developers do continuing education in their spare time? So, when I re-frame it that way, that makes a whole ...",,,,,,Peer-validated,pattern,,,,,,,,2018-11-28,stackexchange/workplace/answer,,Answer score: 49
"I will admit, I am an old timer and attitudes have changed. When I was junior however, this same question would have been asked in an interview as a disqualified, not as a qualified for an applicant. ...",,,,,,Peer-validated,pattern,,,,,,,,2018-11-28,stackexchange/workplace/answer,,Answer score: 12
"People don't know you write great code. They don't know you solve hard problems that others can't. If you want to be junior your whole life, then visibility is not important. But if you have ever aske...",,,,,,Peer-validated,pattern,,,,,,,,2013-05-16,stackexchange/workplace/answer,,Answer score: 54
"Your HR department should have some sort of EEO/Anti-Discrimination policies or processes in place, I would refer to those, last thing you need is for a comment to be misconstrued that is covered in s...",,,,,,Peer-validated,pattern,,,,,,,,2016-09-08,stackexchange/workplace/answer,,Answer score: 7
"Take a piece of paper and draw three coloumns with headers: What is the problem(s) | What is the cause(s) | What is the solution(s) | | | | | | | | | | | | and prefill the first one with Jeffry said ""...",,,,,,Peer-validated,pattern,,,,,,,,2016-09-11,stackexchange/workplace/answer,,Answer score: 2
"... he told me there is no way I could get the same salary or position in another organization The person is an idiot. If he was unhappy with your work, he would fire you. What the person was actually...",,,,,,Peer-validated,pattern,,,,,,,,2019-02-14,stackexchange/workplace/answer,,Answer score: 324
How do I know if he is right? By applying to another position and seeing if you can get the same salary. Just to give you a background my last job had a manager who talked like yours. The area is spot...,,,,,,Peer-validated,pattern,,,,,,,,2019-02-14,stackexchange/workplace/answer,,Answer score: 13
"Here is Virginia law: http://www.doli.virginia.gov/laborlaw/laborlaw.html Legally, you can never be paid less than the federal minimum wage of $7.25/hour. If you work for an hour, you must make at lea...",,,,,,Peer-validated,pattern,,,,,,,,2017-07-30,stackexchange/workplace/answer,,Answer score: 437
"It's a pretty common policy, even in jurisdictions that explicitly forbid it. (Some employers, like some landlords, break the rules with a fair amount of confidence that they won't be taken to whateve...",,,,,,Peer-validated,pattern,,,,,,,,2017-07-30,stackexchange/workplace/answer,,Answer score: 44
Very bad online reputation is destroying my chances of getting a job,,,,,,Peer-validated,pattern,,,,,,,,2017-11-29,stackexchange/workplace,https://workplace.stackexchange.com/questions/103310/very-bad-online-reputation-is-destroying-my-chances-of-getting-a-job,"Score: 281, Answers: 17, Tags: job-search, background-check, canada"
"My experience in life has taught me that there are basically two different approaches to this kind of challenge: Attack the problem. Recognise that bad things very often result in amazing, rewarding t...",,,,,,Peer-validated,pattern,,,,,,,,2017-11-30,stackexchange/workplace/answer,,Answer score: 5
"1/ If you live in the EU, exercise your ""Right to be forgotten"". 2/ Go borrow (or more likely, buy -- cost of unemployedly waiting is more than sales price) the book ""So you've been publicly shamed?"" ...",,,,,,Peer-validated,pattern,,,,,,,,2017-11-30,stackexchange/workplace/answer,,Answer score: 5
How to be diplomatic in refusing to write code that breaches the privacy of our users,,,,,,Peer-validated,pattern,,,,,,,,2019-03-26,stackexchange/workplace,https://workplace.stackexchange.com/questions/132576/how-to-be-diplomatic-in-refusing-to-write-code-that-breaches-the-privacy-of-our,"Score: 281, Answers: 17, Tags: ethics, software-development, privacy, philippines"
"Did you consider the humorous approach? Maybe it's late for this, but your CEO may be overwhelmed with soft-toned legal boilerplate stuff he reads everyday that he is indeed not grasping the gravity o...",,,,,,Peer-validated,pattern,,,,,,,,2019-03-27,stackexchange/workplace/answer,,Answer score: 7
Slightly different approach than the other (mostly very good) answers. This answer is an attempt for you to keep your job and not have to write the feature. the product owner explains to me that while...,,,,,,Peer-validated,pattern,,,,,,,,2019-03-26,stackexchange/workplace/answer,,Answer score: 6
"One major reason not to do this is: what if she accepts the offer, despite your warnings? You are now in a very awkward position: your junior is now in a position to blackmail you. This is especially ...",,,,,,Peer-validated,pattern,,,,,,,,2018-11-13,stackexchange/workplace/answer,,Answer score: 36
Your only responsibility is to make sure she gets enough information to make an informed decision. We are talking here about a person who has already worked an internship at your company. She's not so...,,,,,,Peer-validated,pattern,,,,,,,,2018-11-13,stackexchange/workplace/answer,,Answer score: 5
"Provider is &quot;cheating&quot;, but I don&#39;t want to disclose how I found out",,,,,,Peer-validated,pattern,,,,,,,,2016-03-01,stackexchange/workplace,https://workplace.stackexchange.com/questions/62879/provider-is-cheating-but-i-dont-want-to-disclose-how-i-found-out,"Score: 266, Answers: 8, Tags: ethics, whistle-blowing"
"What you ought to do is independently verify what you've been told by this junior developer. For one, you don't actually know that what he said is accurate. There could have been a miscommunication so...",,,,,,Peer-validated,pattern,,,,,,,,2016-03-01,stackexchange/workplace/answer,,Answer score: 266
"The other answers are really good, but I didn't see this explicitly stated in any of them - Why wouldn't your recommendation just be that their external benchmarking vendor perform another test as the...",,,,,,Peer-validated,pattern,,,,,,,,2016-03-02,stackexchange/workplace/answer,,Answer score: 14
How do I deal with my current employer not respecting my decision to leave?,,,,,,Peer-validated,pattern,,,,,,,,2016-11-09,stackexchange/workplace,https://workplace.stackexchange.com/questions/79458/how-do-i-deal-with-my-current-employer-not-respecting-my-decision-to-leave,"Score: 262, Answers: 9, Tags: job-search, job-offer, quitting"
"During the call with HR, I was told that I should have informed the company that I was going for an interview, as this would have influenced their decision to send me on the assignment. Am I wrong for...",,,,,,Peer-validated,pattern,,,,,,,,2016-11-10,stackexchange/workplace/answer,,Answer score: 41
How to handle a senior developer diva who seems unaware that his skills are obsolete?,,,,,,Peer-validated,pattern,,,,,,,,2016-10-13,stackexchange/workplace,https://workplace.stackexchange.com/questions/77714/how-to-handle-a-senior-developer-diva-who-seems-unaware-that-his-skills-are-obso,"Score: 260, Answers: 9, Tags: team, politics"
"The founder responded that they are overreacting, and that he has an absolute trust in the skills of the new lead, based on his CV and the interview, which is exactly why he assigned to this person th...",,,,,,Peer-validated,pattern,,,,,,,,2016-10-13,stackexchange/workplace/answer,,Answer score: 271
"twenty-five years in IT [...] change his attitude Not gonna work, sorry. Your real problem isn't the incompetent lead developer. That problem is insignificant compared to the real problem you describe...",,,,,,Peer-validated,pattern,,,,,,,,2016-10-15,stackexchange/workplace/answer,,Answer score: 55
"For a few years, the founder was unhappy about the technical skills of the employees, and he recently hired a senior developer for the double role of technical lead and project manager. He was the onl...",,,,,,Peer-validated,pattern,,,,,,,,2016-10-14,stackexchange/workplace/answer,,Answer score: 7
"Professionalism and knowledge are two completely different things. Looking up things from third-party sources does mean you lack knowledge, not lack of professionalism. Lacking knowledge is a topic fo...",,,,,,Peer-validated,pattern,,,,,,,,2016-11-29,stackexchange/workplace/answer,,Answer score: 29
"It is far more professional to read the documentation and get your code right than to guess and get it wrong. This is especially true of a language like PHP, where the standard library is haphazardly ...",,,,,,Peer-validated,pattern,,,,,,,,2016-11-29,stackexchange/workplace/answer,,Answer score: 10
"Perhaps you can contact the company your employer gets its liability insurance from. OSHA can be slow to move, but the insurance company can be very quick to cancel a policy in case of such blatant ne...",,,,,,Peer-validated,pattern,,,,,,,,2018-06-26,stackexchange/workplace/answer,,Answer score: 12
Is Screenshot Time-tracking Common?,,,,,,Peer-validated,pattern,,,,,,,,2019-02-19,stackexchange/workplace,https://workplace.stackexchange.com/questions/129587/is-screenshot-time-tracking-common,"Score: 257, Answers: 16, Tags: software-industry, freelancing"
This is pretty common. UpWork requires screenshots for you to have escrow claims. Because of the popularity of UpWork it is safe to say this is a common practice. (HubStaff and various others operate ...,,,,,,Peer-validated,pattern,,,,,,,,2019-02-20,stackexchange/workplace/answer,,Answer score: 30
"Others have given good answers whether or not this is normal (no!), but I wanted to give an example reaction. The tone should be confident, a kind of &quot;take it or leave it&quot; approach (which, I...",,,,,,Peer-validated,pattern,,,,,,,,2019-02-20,stackexchange/workplace/answer,,Answer score: 20
There's an angle to this that I think you could take which hasn't been addressed: Instead of posturing why you don't do this because of the risk to OTHER clients or yourself... Explain why you don't d...,,,,,,Peer-validated,pattern,,,,,,,,2019-02-20,stackexchange/workplace/answer,,Answer score: 11
"No, this isn't a normal request. And from your own descriptions, I think you can improve your invoicing techniques. Clients don't care about your lunch breaks. All they care about is seeing what you d...",,,,,,Peer-validated,pattern,,,,,,,,2019-02-20,stackexchange/workplace/answer,,Answer score: 6
"Your friend is being had, if I was him I'd just refuse, do my normal hours and go home. The company can then decide what they want to do about it. In any case I'd be looking for a new job, so if they ...",,,,,,Peer-validated,pattern,,,,,,,,2016-05-23,stackexchange/workplace/answer,,Answer score: 329
"This is an odd one, but the answer may be complicated. In the upper peninsula of Michigan there are places that enforce strict environmental rules to protect the community and closed habitat. These pl...",,,,,,Peer-validated,pattern,,,,,,,,2016-05-23,stackexchange/workplace/answer,,Answer score: 113
How to gently enforce &quot;nohello&quot; to a coworker?,,,,,,Peer-validated,pattern,,,,,,,,2018-09-12,stackexchange/workplace,https://workplace.stackexchange.com/questions/119137/how-to-gently-enforce-nohello-to-a-coworker,"Score: 250, Answers: 23, Tags: communication, work-environment, colleagues, distractions"
"If someone simply saying “Hello!” or “Good morning!” to you in chat is so upsetting, that is a symptom of another problem and it’s not your need to “train” someone to never say “Hello!” or some simila...",,,,,,Peer-validated,pattern,,,,,,,,2018-09-13,stackexchange/workplace/answer,,Answer score: 71
"In the companies I work or worked in, the initial ""hello"" was less of a chit-chat and more of a way to poke someone and check whether they can freely read the IM. The idea being that if someone does n...",,,,,,Peer-validated,pattern,,,,,,,,2018-09-13,stackexchange/workplace/answer,,Answer score: 60
however I find it childish All parties involved here are acting like children. From their point of view you deliberately ruined what was or should have been a long-running game on a whim and you evide...,,,,,,Peer-validated,pattern,,,,,,,,2017-02-09,stackexchange/workplace/answer,,Answer score: 419
"@Lilienthal has a very good answer, but I thought I'd contribute a slightly different perspective to the issue. Some of the other answers are starting to iterate towards this realization but I think t...",,,,,,Peer-validated,pattern,,,,,,,,2017-02-10,stackexchange/workplace/answer,,Answer score: 88
"As other's have said, you need to apologize and show that it was an honest misunderstanding of RPG games and show that it won't happen again and doesn't reflect who you are. The point that I think mos...",,,,,,Peer-validated,pattern,,,,,,,,2017-02-10,stackexchange/workplace/answer,,Answer score: 7
Did I overreact to my boss asking me to get him coffee?,,,,,,Peer-validated,pattern,,,,,,,,2017-04-25,stackexchange/workplace,https://workplace.stackexchange.com/questions/89841/did-i-overreact-to-my-boss-asking-me-to-get-him-coffee,"Score: 247, Answers: 21, Tags: ethics, manager"
"I agree with your concern. It is far too easy for a woman to be treated as a personal assistant, regardless of her actual job. However, I think your comment about not being the manager's secretary may...",,,,,,Peer-validated,pattern,,,,,,,,2017-04-25,stackexchange/workplace/answer,,Answer score: 316
"In the USA: This is not professional behavior. Job descriptions include things, you can see in some secretarial positions that it's included in the job description. The service you are offering is wha...",,,,,,Peer-validated,pattern,,,,,,,,2017-04-25,stackexchange/workplace/answer,,Answer score: 43
"One of the problems with equality is that people aren't replaceable units. You can ask different actors if they'd be interested in playing, say, Jesus in the manger, you'll get a range of valid reacti...",,,,,,Peer-validated,pattern,,,,,,,,2017-04-26,stackexchange/workplace/answer,,Answer score: 31
"In short, in almost all cases keeping calm is better, but keeping calm does not mean tolerating inappropriate behavior. For (in a wide sense) western job culture this is not normal. But keep in mind t...",,,,,,Peer-validated,pattern,,,,,,,,2017-04-26,stackexchange/workplace/answer,,Answer score: 14
Was it really inappropriate to write a pull request for the company I interviewed with?,,,,,,Peer-validated,pattern,,,,,,,,2019-03-05,stackexchange/workplace,https://workplace.stackexchange.com/questions/130931/was-it-really-inappropriate-to-write-a-pull-request-for-the-company-i-interviewe,"Score: 247, Answers: 13, Tags: interviewing"
"""Inappropriate"" might not be the best word, but ""not strategic"" would likely be accurate. As what sounds like a perhaps still relatively new worker in a technical field, one of the first things you wi...",,,,,,Peer-validated,pattern,,,,,,,,2019-03-05,stackexchange/workplace/answer,,Answer score: 60
"In most companies, your actions would be seen positively even if there was a good technical reason to reject your pull request in the end: It shows your genuine interest in that position in particular...",,,,,,Peer-validated,pattern,,,,,,,,2019-03-07,stackexchange/workplace/answer,,Answer score: 9
"He said that it came across like I know more than them as a fresh college grad, and that I haven't considered why they coded it how it was. I didn't end up getting the job. Consider yourself lucky for...",,,,,,Peer-validated,pattern,,,,,,,,2019-03-09,stackexchange/workplace/answer,,Answer score: 6
"The problem is, your ""improvement"" was naïve and artificial, and I know that because of how much shorter you were able to make it. This happens all the time to me. I build a complex system to allow da...",,,,,,Peer-validated,pattern,,,,,,,,2019-03-07,stackexchange/workplace/answer,,Answer score: 5
"As an IT Contractor in London for the last 20 years, I have had to negotiate salary many many times. To summarise my experience, and how I approach the whole process: I would normally mention a ball-p...",,,,,,Peer-validated,pattern,,,,,,,,2012-11-07,stackexchange/workplace/answer,,Answer score: 257
"The basic theory behind ""the first to give a number loses,"" from the job seeker's perspective, is that one might be ""leaving money on the table"" by naming a salary request. This viewpoint has a deeper...",,,,,,Peer-validated,pattern,,,,,,,,2012-04-10,stackexchange/workplace/answer,,Answer score: 107
"There's over 4 million hits on Google for ""negotiation theory first offer"". They provide differing viewpoints and a definitive answer is hard to find, as there are many variables influencing the outco...",,,,,,Peer-validated,pattern,,,,,,,,2013-12-19,stackexchange/workplace/answer,,Answer score: 69
"Not necessarily. I think you can shoot for the stars and ask for more than even you think you deserve (within reason.. maybe 10 or 20k more than you would accept). In that case, you can wind up winnin...",,,,,,Peer-validated,pattern,,,,,,,,2012-04-10,stackexchange/workplace/answer,,Answer score: 32
"Bold answer Is this true? No. Evidence Anecdotal - two interviews, several months back. In one, I didn't really want to work there and added a big, let me say outrageous, premium to my usual expectati...",,,,,,Peer-validated,pattern,,,,,,,,2013-12-20,stackexchange/workplace/answer,,Answer score: 27
"The statement ""the first to give a number loses"" is fundamentally wrong. The reality is ""the one who doesn't know the value or isn't willing to walk away 'loses'."" Rather than trying to nickle and dim...",,,,,,Peer-validated,pattern,,,,,,,,2014-10-23,stackexchange/workplace/answer,,Answer score: 19
"Actually, I've read that the reverse is true. The first offer sets a baseline and basically a framework to work within. Unless your expectations are way outside the initial range that the employer has...",,,,,,Peer-validated,pattern,,,,,,,,2012-04-13,stackexchange/workplace/answer,,Answer score: 13
How can I inform my boss that I may have been hired by mistake?,,,,,,Peer-validated,pattern,,,,,,,,2017-10-24,stackexchange/workplace,https://workplace.stackexchange.com/questions/101377/how-can-i-inform-my-boss-that-i-may-have-been-hired-by-mistake,"Score: 243, Answers: 9, Tags: communication, new-job, manager, mistakes"
